HIP,_RA_icrs,_DE_icrs,Vmag,Plx,ecl_lat
106039,322.18083418,-21.80717988,4.5,18.18,-6.567783944764108
100310,305.1659006,-12.75907959,4.77,11.98,6.575981970475348
85423,261.8386404,-29.8670334,4.28,29.26,-6.629214130732999
79404,243.07585385,-27.92637196,4.58,6.97,-6.680329612570633
37826,116.32895983,28.02619862,1.16,96.74,6.684187953425059
31681,99.42792124,16.39925217,1.93,31.12,-6.742563711589711
26777,85.323828,16.53414784,4.84,4.36,-6.8318919597485905
20732,66.65155089,14.71378193,4.69,7.17,-6.903399835980098
100064,304.51356413,-12.54485184,3.58,30.01,6.930174591478738
100027,304.41195582,-12.50821221,4.3,4.75,6.988352102199613
105881,321.66677526,-22.41133249,3.77,8.19,-6.990934824010952
88635,271.45202872,-30.42409129,2.98,33.94,-6.99115804371911
102485,311.52388737,-25.27089759,4.13,68.16,-7.028588507225134
21273,68.46215732,14.84442444,4.65,21.39,-7.042125810304551
98688,300.66450229,-27.70984484,4.43,7.28,-7.1062072545267725
79881,244.57457668,-28.61402047,4.8,23.23,-7.123856761648394
116771,354.98767042,5.62629159,4.13,72.51,7.153958857764645
8832,28.38255961,19.29385177,3.88,15.96,7.162387518576187
93506,285.65297476,-29.88010539,2.6,36.61,-7.178905331786455
84012,257.59453052,-15.72491023,2.43,38.77,7.197798388038833
69701,214.00362402,-6.00054666,4.07,46.74,7.199493965868799
39424,120.87950143,27.79433226,4.94,12.66,7.227924995910644
114971,349.29140788,3.28228889,3.7,24.92,7.257113107956658
29434,93.01366463,16.13040608,4.95,4.21,-7.27835956779675
24010,77.42481287,15.59723234,4.81,10.24,-7.310823159794988
23607,76.14228959,15.40410527,4.65,8.15,-7.389810590725888
37629,115.82802711,28.88350961,4.23,26.68,7.450482385645369
73714,226.0175648,-25.28196464,3.25,11.17,-7.644464035437426
55084,169.16542031,-3.65160104,4.45,16.69,-7.646096759450156
34693,107.78487783,30.24516301,4.41,10.81,7.754447198040366
13954,44.92875737,8.90736485,4.71,7.69,-7.78594531766734
46750,142.930117,22.96797056,4.32,9.69,7.888730642098965
8833,28.38896,3.18753653,4.61,17.11,-7.921513905400609
86263,264.39667273,-15.39855727,3.54,30.93,7.934713239267434
18724,60.17006562,12.49034659,3.41,8.81,-7.9598045098962205
53907,165.45697703,-2.48458482,4.73,6.34,-8.022622621016643
75379,231.04953961,-10.32226578,4.92,30.9,8.044489427669479
102618,311.91896433,-9.49577573,3.78,14.21,8.080545637281793
104234,316.78194974,-25.00585337,4.49,6.24,-8.104184128391221
111497,338.83908579,-0.11749758,4.04,17.77,8.146876437336704
113136,343.66255214,-15.82082024,3.27,20.44,-8.19133849878792
22667,73.13317557,14.25064185,4.71,6.02,-8.227299060392621
110395,335.41406405,-1.38733152,3.86,20.67,8.235166916583934
103045,313.16347329,-8.98331781,4.73,21.01,8.23999036766551
73473,225.24311921,-8.51894314,4.91,10.72,8.24654734901762
87220,267.29365086,-31.70320353,4.79,5.37,-8.285766742440897
50564,154.93403308,19.47091417,4.78,47.24,8.449495333618337
8903,28.66003816,20.80803505,2.64,54.74,8.487252824767435
74785,229.25172845,-9.3829174,2.61,20.38,8.495938301041866
76470,234.25604093,-28.13507945,3.6,16.76,-8.507496132578824
58948,181.30224822,8.73298544,4.12,19.08,8.524742347435991
78104,239.22115205,-29.21407322,3.87,7.97,-8.599065169091697
63090,193.90086578,3.39747026,3.39,16.11,8.613435768926141
106278,322.88972517,-5.57117221,2.9,5.33,8.615014876338963
66249,203.67330011,-0.59582018,3.38,44.55,8.636576352407497
29038,91.89302018,14.7684717,4.42,6.1,-8.658653248830483
90595,277.29939072,-14.56581345,4.67,11.19,8.692590310364523
16083,51.79230269,9.73267975,3.73,14.68,-8.798643370029334
50583,154.99314355,19.84148873,2.01,25.96,8.814862998785726
110960,337.20796732,-0.01997197,3.65,31.53,8.84570111000873
25984,83.18197064,32.19202168,4.71,0.8,8.890758928468523
76219,233.54458663,-10.06452866,4.61,34.54,8.89823514745649
47310,144.61370114,4.64929286,4.68,11.9,-8.929641892404815
102978,312.95537911,-26.91913259,4.12,5.19,-8.962709736512199
115830,351.99206304,6.37899212,4.27,20.54,9.033260348996322
113889,345.96922513,3.82004536,4.48,6.62,9.053080836324103
